,Title-Code,Title Name,Hindi Title,Register Serial No,Regn No.,Owner Name,State,Publication City/District,Periodity
0,NOF00025,ANUJA TIMES,,48613.0,48613/ 0,NOF,,,
1,NOF00028,NEEL GAGAN SAMACHAR TIMES,,58610.0,58610/ 94,NOT GIVEN,,,A
2,NOFHIN00548,AAP SUB KA SAHARA TIMES,,55677.0,55677/ 92,NOT GIVEN,,,W
3,NOFHIN00556,JAN JAGRAN TIMES,,62359.0,62359/ 94,NOT GIVEN,,,W
4,ANDENG00151,TODAY TIMES,टुडे टाइम्स,125860.0,ANDENG/2013/53305,PRADEEP KUMAR,AND,PORT BLAIR,D
5,ANDENG00160,THE KING TIMES,द किंग टाइम्स,136478.0,ANDENG/2015/63923,MOHD. SHAFIQUE,AND,PORT BLAIR,D
6,ANDENG00127,EMERALD TIMES,एमरलैंड टाइम्स,113839.0,ANDENG/2011/41282,R. GURU,AND,PORT BLAIR,F
7,ANDENG00029,THE PORT BLAIR TIMES,द पोर्ट ब्लेयर टाइम्स,63762.0,63762/ 96,DR P A MATHEWS,AND,PORT BLAIR,W
8,ANDENG00033,THE DAWN TIMES,द डॉन टाइम्स,64487.0,64487/ 96,P. GANESHAN,AND,SOUTH ANDAMAN/ PORT BLAIR,D
9,ANDENG00187,THE TIMES OF ANDAMAN,,,UR,REEYA CHAKRABORTY,AND,SOUTH ANDAMAN/ PORT BLAIR,D
10,ANDENG00052,NEW ISLAND TIMES,न्यू आइलैंड टाइम्स,72242.0,72242/ 99,K P KANNAN,AND,SOUTH ANDAMAN/ PORT BLAIR,W
11,APTEL14486,SHANTHI TIMES,,135257.0,APTEL/2015/62702,REDDYPALLISIVA SRINIVASA KUMAR,AP,ANANTAPUR,D
12,APTEL15851,ANANTA TIMES,,153959.0,APTEL/2021/81404,JODU RAMESH KUMAR,AP,ANANTAPUR,D
13,APTEL16160,AKSHRA TIMES,,,UR,BABAN JAVEED BASHA,AP,ANANTAPUR,D
14,APTEL15581,KADIRI TIMES,,150631.0,APTEL/2018/78076,SHAIK.SHABBIR SAHEB,AP,ANANTAPUR,D
15,APTEL15823,BHAGAVAN TIMES,,,,GADDAM SREEDHAR,AP,ANANTAPUR,D
16,APTEL13506,SHAMBU TIMES,,126782.0,APTEL/2013/54227,ILLURI PARAMESWAR REDDY,AP,ANANTAPUR,F
17,APTEL12574,PENNA TIMES,,119501.0,APTEL/2012/46944,BILLE. AKKULAPPA,AP,ANANTAPUR,M
18,APTEL15887,VAMSI TIMES,,,,KADAPA MADHUSUDHANA,AP,ANANTAPUR,M
19,APTEL16462,PAVITRA TIMES,,,,VYKUNTAM PRABHAKAR CHOWDARY,AP,ANANTAPUR,M
20,APTEL12035,NANDU TIMES,,117380.0,APTEL/2012/44823,B. SUBRAMANYAM REDDY,AP,ANANTAPUR,M
21,APTEL12410,THE TIMES OF ADITHYA,,114958.0,APTEL/2012/42401,PULIKANTI NAGENDRANATHA REDDY,AP,ANANTAPUR,M
22,APTEL15107,KHADRI TIMES,,143230.0,APTEL/2016/70675,PUPPALA ANJANEYLU,AP,ANANTAPUR,M
23,APTEL14637,NEW MAMATHA TIMES,न्यू ममता टाइम्स,137437.0,APTEL/2015/64882,M BALAVENKATAIAH,AP,ANANTAPUR,M
24,APTEL14921,TADIPATRI TIMES,,142695.0,APTEL/2016/70140,GORTHI JYOTHI,AP,ANANTAPUR,M
25,APTEL14165,BHAGAVAN TIMES,,130478.0,APTEL/2014/57923,GADDAM SREEDHAR,AP,ANANTAPUR,M
26,APTEL14259,SHALINI TIMES,शालिनी टाइम्स,133866.0,APTEL/2015/61311,REDDYPALLISIVA SRINIVASA KUMAR,AP,ANANTAPUR,M
27,APTEL15674,PAMIDI TIMES,,149407.0,APTEL/2018/76852,CHAKALI SIVAPRASAD,AP,ANANTAPUR,M
28,APTEL14100,HARIKA TIMES,हरिका टाइम्स,139032.0,APTEL/2016/66477,M. RAJASEKHAR REDDY,AP,ANANTAPUR,M
29,APTEL14563,KEERTHI TIMES,कीर्ति टाइम्स,136274.0,APTEL/2015/63719,K. SREENIVASULU,AP,ANANTAPUR,M
30,APTEL15448,HAPPY INDIA TIMES,,147939.0,APTEL/2017/75384,HAPPY INDIA TECHNOCORP PVT LTD,AP,ANANTAPUR,W
31,APBEN00010,PYRAMID TIMES,,69623.0,69623/ 98,DR. G.R. YUGANDHAR,AP,CHITTOOR,BM
32,APTEL10796,TIRUPATI HAPPY TIMES,तिरुपति हैप्पी टाइम्स,100340.0,APTEL/2009/27783,N. REDDEPPA NAIDU,AP,CHITTOOR,F
33,APTEL10268,ESWAR TIMES,,98822.0,APTEL/2008/26265,L. ESWAR,AP,CHITTOOR,M
34,APTEL14368,REGISTRATION TIMES,रजिस्ट्रेशन टाइम्स,136230.0,APTEL/2015/63675,N.PURUSHOTHAM,AP,CHITTOOR,M
35,APBIL14868,TIMES OF TIRUPATI,,,,K. NETHAJI,AP,CHITTOOR/ TIRUPATI,M
36,APENG03116,ENVIRONMENT AND POLLUTION TIMES,,111412.0,APENG/2010/38855,N. PURUSHOTHAM,AP,CHITTOR,M
37,APENG03117,TOURISM TIMES,,111413.0,APENG/2010/38856,N. PURUSHOTHAM,AP,CHITTOR,M
38,APENG03118,JOURNALIST TIMES,,112925.0,APENG/2010/40368,N. PURUSHOTHAM,AP,CHITTOR,M
39,APTEL15545,RAJAMAHENDRAVARAM TIMES,,148643.0,APTEL/2018/76088,KUCHIMANCHI MADHULATHA,AP,EAST GODAVARI,D
40,APTEL16287,SAMAKALEENA ANDHRA TIMES,,160505.0,APTEL/2023/87950,NALLURI POSAGIRIBABU,AP,EAST GODAVARI,D
41,APBIL01702,KAKINADA TIMES,काकीनाडा टाइम्स,106303.0,APBIL/2009/33746,NALLURI SRINIVASA RAO,AP,EAST GODAVARI,D
42,APTEL13482,GODAVARI TIMES,,129840.0,APTEL/2014/57285,ANANTHA RAO GOTTIMUKKALA,AP,EAST GODAVARI,D
43,APTEL14662,DIKHSUTCHI TIMES,,136148.0,APTEL/2014/63593,PARVADA ANJANEYULU,AP,EAST GODAVARI,D
44,APTEL15599,COASTA TIMES,,148358.0,APTEL/2018/75803,CHOPPALA DEEPIKA,AP,EAST GODAVARI,DE
45,APENG03534,TIMES IN THE CITY,,143460.0,APENG/2016/70905,VALLI BASHA MOHAMMAD,AP,EAST GODAVARI,W
46,APTEL16183,NAMBURI TIMES,,157745.0,APTEL/2023/85190,NAMBURI CHINA SAIDAIAH,AP,GUNTUR,D
47,APTEL09568,GUNTUR TIMES,गुंटुर टाइम्स,98358.0,APTEL/2008/25801,NELAVALLI SRINIVAS RAO,AP,GUNTUR,D
48,APTEL10863,PONNUR TIMES,पोन्नूर टाइम्स,100749.0,APTEL/2009/28192,GOLLAMUDI RAMESH BABAU,AP,GUNTUR,D
49,APTEL15316,BAPATLA TIMES,,,UR,EAGAM VISHNU SAI PRASADA RAO,AP,GUNTUR,D
50,APTEL14184,NANDI TIMES,,129521.0,APTEL/2013/56966,G.S. SUNDARA SARMA,AP,GUNTUR,D
51,APBIL01928,SUJANA TIMES,,139004.0,APBIL/2015/66449,KATTA. SRINIVASULU,AP,GUNTUR,D
52,APTEL11255,SWARNAPURI TIMES,स्वर्णपुरी टाइम्स,105430.0,APTEL/2010/32873,SUNDAR SINGH BODDU,AP,GUNTUR,D
53,APBIL01781,COMMERCE TIMES,,117248.0,APBIL/2012/44691,SRI KRISHNA NALAM,AP,GUNTUR,F
54,APTEL03436,LAW TIMES,लॉ टाइम्स,3262.0,3262/ 57,GARIKIPATY VEERAIAH,AP,GUNTUR,F
55,APTEL14495,WEAVERS TIMES,,137794.0,APTEL/2015/65239,P.ARJUN,AP,GUNTUR,F
56,APTEL08135,THE TENALI TIMES,,83572.0,APTEL/2003/11015,LUKKA VENKATESWARA RAO,AP,GUNTUR,W
57,APENG03264,VIJAYAWADA TIMES,,126979.0,APENG/2013/54424,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,D
58,APENG03372,GREEN TIMES,,119371.0,APENG/2012/46814,MOHAMMED MEHDI ALI,AP,HYDERABAD,D
59,APENG03399,ARYAVART TIMES,,123973.0,APENG/2013/51418,RACHARLA ARJUN KUMAR,AP,HYDERABAD,D
60,APENG02277,THE TIMES OF INDIA,द टाइम्स ऑफ इण्डिया,75685.0,TELENG/2000/03128,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,D
61,APTEL12365,NANDI TIMES,,111616.0,APTEL/2011/39059,G.S. SUNDARA SARMA,AP,HYDERABAD,D
62,APTEL09706,TIMES OF VAARTHA,टाईम्‍स आफ वार्ता,95385.0,UR,G. JANARDHAN REDDHY,AP,HYDERABAD,D
63,APURD01795,RIYAZ TIMES,,99307.0,APURD/2008/26750,MOHD. RIYAZ ALI,AP,HYDERABAD,D
64,APHIN00329,DESH BHAKT TIMES,,120498.0,APHIN/2013/47942,K. SATYANARAYANA,AP,HYDERABAD,D
65,APTEL11039,STATE TIMES,स्टेट टाइम्स,100243.0,APTEL/2008/27686,MULAKALA VISWA GINGA,AP,HYDERABAD,D
66,APURD01843,CHARMINAR TIMES,,109819.0,APURD/2010/37262,MD. SHUJA UDDIN IFTEQARI,AP,HYDERABAD,D
67,APTEL10319,BHUPATHI TIMES,भूपति टाईम्स,95217.0,APTEL/2007/22660,BHUPATHI RAJU,AP,HYDERABAD,D
68,APENG02971,PRAGATHI TIMES,प्रगति टाईम्स,97654.0,TELENG/2008/25097,AFROZ QURESHI,AP,HYDERABAD,D
69,APURD01882,NASER TIMES,,112595.0,APURD/2011/40038,JAHANGIR SULTANA,AP,HYDERABAD,D
70,APURD01953,ADAM TIMES,,120744.0,APURD/2012/48188,MOHD. AKBAR,AP,HYDERABAD,D
71,APENG03347,RIDA TIMES,,116800.0,UR,MOHAMMED KHAIRATH ALI,AP,HYDERABAD,D
72,APENG03431,SHALIMAR TIMES,,123919.0,APENG/2013/51364,SYED MUMTAZ MOHAMMED,AP,HYDERABAD,D
73,APENG02999,RIYAZ TIMES,,99300.0,APENG/2008/26743,MOHD. RIYAZ ALI,AP,HYDERABAD,D
74,APENG03374,SANSANI TIMES,,119401.0,APENG/2012/46844,MOHD NAJMUDDIN,AP,HYDERABAD,D
75,APTEL11441,LOK SATTA TIMES,लोक सत्ता टाइम्स,104776.0,APTEL/2010/32219,FOUNDATION FOR DEMOCRATIC REFORMS,AP,HYDERABAD,F
76,APURD01814,MEHAR TIMES,मेहर टाइम्स,104031.0,APURD/2009/31474,MOHD. AFFAN QUADRI,AP,HYDERABAD,M
77,APTEL13194,SRIVEN TIMES,,121269.0,APTEL/2013/48714,DEVULAPALLI PADMAJA,AP,HYDERABAD,M
78,APBIL01811,YERUKALA TIMES,,124398.0,APBIL/2013/51843,V. PRABHAKAR,AP,HYDERABAD,M
79,APENG02588,PARAMEDICAL & NURSING TIMES,,86955.0,APENG/2004/14398,DR.MOHD SAMLULLAH KHAN,AP,HYDERABAD,M
80,APENG02796,TARNAKA TIMES,तरनका टाईम्स,99026.0,APENG/2007/26469,DR. RAO V.B.J. CHELIKANI,AP,HYDERABAD,M
81,APMUL00356,DRAVIDIAN TIMES,,99125.0,APMUL/2008/26568,C.H. DAYANAND RAO,AP,HYDERABAD,M
82,APBIL01704,TRANSPORT TIMES,,111414.0,APBIL/2009/38857,N. PURUSHOTHAM GOUD,AP,HYDERABAD,M
83,APENG01937,ANDHRA LAW TIMES (LEGISLATIVE SUPPLEMENT),,69920.0,69920/ 99,L.D.GOGIA,AP,HYDERABAD,M
84,APENG02887,TIMES OF DISASTER MANAGEMENT,टाइम्स ऑफ़ डिजास्टर मैनेजमेंट,101145.0,APENG/2009/28588,S. ANANDA BABU,AP,HYDERABAD,Q
85,APENG03222,ETERNAL LIFE TIMES,,110616.0,APENG/2011/38059,K. NEWTON,AP,HYDERABAD,Q
86,APENG02838,PRAGATHI TIMES,प्रगति‍ टाईम्‍स,94364.0,TELENG/2007/21807,AFROZ QURESHI,AP,HYDERABAD,W
87,APENG03501,ADEEB TIMES,,128931.0,TELENG/2014/56376,MOHAMMED ATHER,AP,HYDERABAD,W
88,APENG03477,THE ECONOMIC TIMES WEALTH,,129996.0,TELENG/2014/57441,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,W
89,APENG02819,INDIA GULF TIMES,इण्‍डि‍या गल्‍फ टाईम्‍स,98699.0,APENG/2008/26142,ZEENATH SAJIDA,AP,HYDERABAD,W
90,APENG03229,NASER TIMES,,109969.0,APENG/2011/37412,JAHANGIR SULTANA,AP,HYDERABAD,W
91,APURD01910,SHADAN TIMES,,117929.0,APURD/2012/45372,MOHAMMED KALEEM MOHIUDDIN,AP,HYDERABAD,W
92,APHIN00323,DESH BHAKT TIMES,,120168.0,APHIN/2013/47611,K. SATYANARAYANA,AP,HYDERABAD,W
93,APURD01761,JUSTICE TIMES,JUSTICE TIMES,92216.0,APURD/2006/19659,KHAJA ABDUL HAMEED,AP,HYDERABAD,W
94,APURD01971,JURRAT TIMES,,125792.0,APURD/2013/53237,MOHAMMED FAYAQ NAWAZ,AP,HYDERABAD,W
95,APENG03263,EDUCATION TIMES,,114449.0,TELENG/2011/41892,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,W
96,APENG02665,THE ECONOMIC TIMES ON SATURDAY,दि इकनोमिक टाइम्स ऑन सैटरडे,101228.0,TELENG/2006/28671,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,W
97,APENG02833,TIMES ASCENT,टाइम्स एस्सेन्ट,95713.0,TELENG/2007/23156,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,W
98,APURD01908,INSAAF NEWS TIMES,,119127.0,APURD/2012/46570,A.RASHEED KHAN,AP,HYDERABAD,W
99,APURD01768,ADAM TIMES,ऐडम टाईम्‍स,95728.0,APURD/2007/23171,MOHD. AKBAR,AP,HYDERABAD,W
100,APTEL12573,NUZIVIDU TIMES,,114917.0,APTEL/2012/42360,MALLIPUDI RAJASEKHAR,AP,HYDERABAD,W
101,APENG02802,JUSTICE TIMES,JUSTICE TIMES,92217.0,APENG/2006/19660,KHAJA ABDUL HAMEED,AP,HYDERABAD,W
102,APTEL09907,JUSTICE TIMES,JUSTICE TIMES,92228.0,APTEL/2006/19671,KHAJA ABDUL HAMEED,AP,HYDERABAD,W
103,APENG03475,THE ECONOMIC TIMES MAGAZINE,,134813.0,TELENG/2014/62258,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,W
104,APHIN00271,JUSTICE TIMES,JUSTICE TIMES,92201.0,APHIN/2006/19644,KHAJA ABDUL HAMEED,AP,HYDERABAD,W
105,APURD01996,KHURSHEED TIMES,,127797.0,APURD/2014/55242,MOHD. KHURSHEED KHAN,AP,HYDERBAD,W
106,APTEL06986,CUDDAPAH WEEKLY TIMES,,80597.0,APTEL/2002/08040,B.VENKATA SUBBAIAH,AP,KADAPA,W
107,APTEL13691,PALAMOOR TIMES,,124407.0,APTEL/2013/51852,A. ANJAIAH,AP,KARIMNAGAR,D
108,APTEL12398,SHATHABDI TIMES,,124776.0,APTEL/2013/52221,BONKURI MADUNAIAH,AP,KARIMNAGAR,W
109,APTEL12074,PEOPLES TIMES,,118044.0,APTEL/2012/45487,VODYATI PRAVEEN KUMAR,AP,KARIMNAGAR,W
110,APTEL11265,BHUPATHI TIMES,भूपति टाइम्स,101528.0,APTEL/2009/28971,BHUPATHI RAJU,AP,KHAMMAM,D
111,APTEL14074,KHAMMAM TIMES,,140335.0,TELTEL/2014/67780,BYRE KARAMCHAND GANDHI,AP,KHAMMAM,Q
112,APTEL15553,GUDIVADA TIMES,,149281.0,APTEL/2018/76726,BAPATLA LUDIYA,AP,KRISHNA,D
113,APTEL16216,MYLAVARAM TIMES,,,,MANNE SAMBASIVA RAO,AP,KRISHNA,D
114,APTEL16206,TIMES POWER,,160157.0,APTEL/2023/87602,BAPATLA KIRAN KUMAR,AP,KRISHNA,D
115,APTEL15136,TIRUVURU TIMES,,145516.0,APTEL/2016/72961,R.S.V.PRASAD,AP,KRISHNA,DE
116,APENG00388,FLASH TIMES,,37860.0,37860/ 83,R S MURTHY,AP,KRISHNA/ VIJAYWADA,D
117,APENG03609,AMARAVATI TIMES,,147788.0,APENG/2017/75233,PRIME BIZ TECH SOLUTIONS PVT.LTD.,AP,KRISHNA/ VIJAYWADA,M
118,APURD01413,HAROON TIMES,हारुन टाइम्स,133999.0,APURD/2015/61444,OSMAN HAROON,AP,KURNOOL,D
119,APTEL15658,KANDANAVOLU TIMES,,148808.0,APTEL/2018/76253,CHAKALI RAMANJANEYULU,AP,KURNOOL,D
120,APTEL16310,RAHMATABAD TIMES,,,,S. NAZEER AHMED BASHA,AP,KURNOOL,D
121,APTEL13841,NANDI TIMES,,126486.0,APTEL/2013/53931,G.S. SUNDARA SARMA,AP,KURNOOL,D
122,APENG03078,SEEMA TIMES,,107871.0,APENG/2010/35314,G. VIJAYA LAKSHMI,AP,KURNOOL,D
123,APTEL15993,DREAM TIMES,,154386.0,APTEL/2021/81831,KALUBURIGI SOWMYA,AP,KURNOOL,D
124,APTEL16418,MOURYA TIMES,,,,MADRI LAKSHMANNA,AP,KURNOOL,D
125,APTEL10085,RAYALASEEMA TIMES,रायलसीमा टाइम्स,93328.0,APTEL/2007/20771,G.A. SATTAR,AP,KURNOOL,D
126,APTEL16439,BHAHUJANA TIMES,,,,BHAHUJANA NEWS PVT LTD,AP,KURNOOL,D
127,APTEL11979,BHARAT TIMES,,114630.0,APTEL/2011/42073,A. SALOMI,AP,KURNOOL,F
128,APTEL14059,THE PEER TIMES,,129682.0,APTEL/2014/57127,SYED MOHD. PEER,AP,KURNOOL,M
129,APBIL01948,SAMEENA TIMES,समीना टाइम्स,138159.0,UR,SAMEENA BEGUM,AP,KURNOOL,M
130,APTEL13074,HARISHINI TIMES,,120644.0,APTEL/2013/48088,G.V. LAKSHMAMMA,AP,KURNOOL,M
131,APTEL15767,VISWA TIMES,,158178.0,APTEL/2023/85623,ANURUP CHARITABLE TRUST,AP,KURNOOL,M
132,APTEL15854,GIRIJANA NAIK TIMES,,158804.0,APTEL/2023/86249,K.LALU NAIK,AP,KURNOOL,M
133,APTEL15828,MAHARSI TIMES,,154418.0,APTEL/2022/81863,T MADDULETI,AP,KURNOOL,M
134,APURD01802,KURNOOL TIMES,,25321.0,25321/ 74,C. NAZEER AHMED,AP,KURNOOL,W
135,APTEL09714,RAYALASEEMA TIMES,RAYALASEEMA TIMES,91753.0,APTEL/2007/19196,G.A. SATTAR,AP,KURNOOL,W
136,APTEL07403,KURNOOL TIMES,,27696.0,27696/ 76,C.N. AHMED,AP,KURNOOL,W
137,APTEL10232,MAHABUBNAGAR TIMES,महबूबनगर टाइम्स,101729.0,APTEL/2009/29172,M. YADAGIRI,AP,MAHABUBNAGAR,D
138,APTEL12201,PALAMOOR TIMES,,110467.0,APTEL/2011/37910,A. ANJAIAH,AP,MAHBUBNAGAR,D
139,APTEL12946,RACHANA TIMES,,122775.0,APTEL/2013/50220,MODALA CHNDRA SHEKAR,AP,MAHBUBNAGAR,M
140,APTEL13694,CITY TIMES,,124616.0,APTEL/2013/52061,B PRAMOD KUMAR,AP,MANCHERIAL,D
141,APTEL12903,THE SIDDIPET TIMES,,124580.0,APTEL/2012/52025,L.RAVI CHANDRA,AP,MEDAK,D
142,APTEL11586,UDAYAM TIMES,उदयम टाइम्स,104616.0,APTEL/2010/32059,K. SHOBHA RANI,AP,NALGONDA,D
143,APTEL08055,BHUPATHI TIMES,,82880.0,APTEL/2003/10323,BHUPATHI RAJU,AP,NALGONDA,D
144,APTEL11947,DESHA TIMES,देशा टाइम्स,107114.0,TELTEL/2010/34557,SAYED PASHA,AP,NALGONDA,D
145,APTEL13813,MALLIK TIMES,,127099.0,APTEL/2014/54544,VALIGONDA MALLAIAH,AP,NALGONDA,M
146,APTEL13135,DESHA TIMES,,118657.0,TELTEL/2011/46100,SAYED PASHA,AP,NALGONDA,M
147,APTEL14971,SIMHAPURI TIMES,,138962.0,APTEL/2015/66407,BASINI MANJULA,AP,NELLORE,D
148,APTEL11444,COFFEE TIMES,कॉफ़ी टाइम्स,104180.0,APTEL/2010/31623,MVS RAVINDRA KUMAR,AP,NELLORE,M
149,APTEL13447,SIMHAPURI TIMES,सिम्हापुरी टाइम्स,132236.0,UR,BASINI MANJULA,AP,NELLORE,M
150,APTEL06037,NELLORE TIMES,,25358.0,25358/ 74,P. RUKMINAMMA,AP,NELLORE,W
151,APTEL16235,VENKATAGIRI TIMES,,157823.0,APTEL/2023/85268,RAYAPATI SAI KRISHNA,AP,NELLORE,W
152,APURD01942,MOMIN TIMES,,128184.0,APURD/2014/55629,MOHD AWAIS KHAN,AP,NIZAMABAD,D
153,APTEL15737,PRAKASAM TIMES,,,,GADDALA RAVI,AP,PRAKASAM,M
154,APTEL08554,MULNIVASI TIMES,,86773.0,APTEL/2004/14216,BATTU VISVESWARARAO,AP,RAJAHMUNDRY,F
155,APTEL07224,CITY TIMES,,78453.0,APTEL/2001/05896,B PRAMOD KUMAR,AP,RANGA REDDY,D
156,APTEL12041,PRAJA TIMES,प्रजा टाइम्स,107082.0,APTEL/2010/34525,P. RAMULU GOUD,AP,RANGAREDDY,D
157,APTEL11182,LOCAL TIMES,लोकल टाइम्स,101668.0,APTEL/2009/29111,T. SHANKAR,AP,RANGAREDDY,D
158,APTEL08278,WEAVERS TIMES,,88745.0,APTEL/2005/16188,P.ARJUN,AP,RANGAREDDY,F
159,APENG03427,TRAVELLERS TIMES,,123972.0,APENG/2013/51417,BHUVANESHWARI DEVI SAI KAANTH,AP,RANGAREDDY,F
160,APENG03154,METRO CITY TIMES,,109340.0,APENG/2010/36783,B. PRAMODKUMAR,AP,RANGAREDDY,M
161,APTEL12958,PANCHAYATHRAJ TIMES,,119405.0,APTEL/2012/46848,P.LAVANYA,AP,RANGAREDDY,M
162,APENG03433,ROAD SAFETY TIMES,,126238.0,APENG/2013/53683,K. VANALATHA,AP,RANGAREDDY,M
163,APTEL10309,PRAJA TIMES,प्रजा टाइम्स,96553.0,APTEL/2008/23996,P. RAMULU GOUD,AP,RANGAREDDY,M
164,APBIL01767,FREELANCE JOURNALIST TIMES,फ्रीलान्स जर्नलिस्ट टाइम्स,108367.0,APBIL/2010/35810,K. SATEESH KUMAR,AP,RANGAREDDY,M
165,APBIL01783,HEALTH TIMES,,110750.0,APBIL/2011/38193,P.S. CHALAM NAIDU,AP,RANGAREDDY,M
166,APBIL01812,ARROW TIMES,,122571.0,TELBIL/2012/50016,I. VENKATESH GOUD,AP,RANGAREDDY,M
167,APTEL11656,SANATHNAGAR TIMES,,114160.0,APTEL/2012/41603,M. SRINIVAS REDDY,AP,RANGAREDDY,W
168,APTEL07877,CHIKKOLU TIMES,,82958.0,APTEL/2003/10401,CHEMCHALA LAKSHMI,AP,SRIKAKULAM,D
169,APTEL14424,THE MONDAY TIMES,,135290.0,APTEL/2015/62735,PICINI CHANDRA MOHAN,AP,SRIKAKULAM,M
170,APTEL13572,CITY TIMES,,123974.0,APTEL/2013/51419,B PRAMOD KUMAR,AP,TANDUR,D
171,APENG02636,THE FEDERAL TIMES,दी फेडरल टाइम्स,96888.0,APENG/2006/24331,DR. M. KAILASHPATHI,AP,TENALI,D
172,APTEL13548,CITY TIMES,,122567.0,APTEL/2013/50012,B PRAMOD KUMAR,AP,TIRUPATHI,D
173,APENG03561,THE TIMES OF INDIA,दि टाइम्स ऑफ़ इंडिया,137069.0,APENG/2015/64514,"BENNETT, COLEMAN & CO.LTD",AP,VIJAYAWADA,D
174,APTEL12143,BEZAVADA TIMES,,115191.0,APTEL/2011/42634,MURALA VENUGOPAL,AP,VIJAYAWADA,M
175,APTEL10919,CITIZEN TIMES,सिटीजन टाइम्स,101425.0,APTEL/2009/28868,M.S.R. PATNAIK,AP,VISAKHAPATNAM,D
176,APENG03550,THE SUNDAY TIMES OF INDIA,द संडे टाइम्स ऑफ़ इंडिया,135334.0,ENG/2012/62779,"BENNETT, COLEMAN & CO.LTD",AP,VISAKHAPATNAM,D
177,APTEL10770,KALINGA TIMES,कलिंग टाइम्स,101426.0,APTEL/2009/28869,KRISHNA MOORTHY PRAYAKA RAO,AP,VISAKHAPATNAM,D
178,APENG03371,VIZAG TIMES OF INDIA,विज़ाग टाइम्स ऑफ़ इंडिया,121780.0,ENG/2012/49225,"BENNETT, COLEMAN & CO.LTD",AP,VISAKHAPATNAM,D
179,APENG03408,THE TIMES OF INDIA,द टाइम्स ऑफ़ इंडिया,120864.0,ENG/2012/48308,"BENNETT, COLEMAN & CO.LTD",AP,VISAKHAPATNAM,D
180,APTEL16505,COSTA TIMES,,,,KALLA SUBBA RAO,AP,VISAKHAPATNAM,D
181,APTEL14378,NANDI TIMES,,132007.0,APTEL/2014/59452,G.S. SUNDARA SARMA,AP,VISAKHAPATNAM,D
182,APTEL14339,DIKHSUTCHI TIMES,,131588.0,APTEL/2014/59033,PARVADA ANJANEYULU,AP,VISAKHAPATNAM,DE
183,APTEL11408,COSTA TIMES,कोस्टा टाइम्स,106778.0,APTEL/2010/34221,KALLA SUBBA RAO,AP,VISAKHAPATNAM,F
184,APTEL08952,PRAJAA TIMES TELUGU PAKSHA PATRIKA,प्रजा टाइम्‍स तेलुगू पक्षा पत्रिका,93154.0,APTEL/2005/20597,M. PADMAJA,AP,VISAKHAPATNAM,F
185,APBIL00424,SALADI TIMES,,45016.0,45016/ 89,KANAKA RAO SALADI,AP,VISAKHAPATNAM,F
186,APTEL05763,TENDER TIMES,,74556.0,APTEL/1998/01999,APARNA PUBLICATIONS,AP,VISAKHAPATNAM,F
187,APTEL15464,GAJUWAAKA TIMES,,147799.0,APTEL/2018/75244,BANTHIKOLLA SANTHOSHI DEVI,AP,VISAKHAPATNAM,M
188,APTEL15428,TEJA TIMES,,146509.0,APTEL/2017/73954,GORLE ESWARA RAO,AP,VISAKHAPATNAM,M
189,APTEL14127,MEGA TIMES,,130260.0,APTEL/2014/57705,GEDDAM VENKATA JAGANNADHA RAO,AP,VISAKHAPATNAM,M
190,APTEL14211,VIBHINNA VARTHA PATRIKA TELUGU TIMES,,139029.0,APTEL/2016/66474,KESANAPALLI VENKATA SHANTHI,AP,VISAKHAPATNAM,M
191,APTEL11998,VALTAIR TIMES,,109636.0,APTEL/2011/37079,G. LAKSHMI,AP,VISAKHAPATNAM,M
192,APTEL12260,GREATER TIMES,,112053.0,APTEL/2011/39496,YALLA APPA RAO,AP,VISAKHAPATNAM,M
193,APTEL14103,ANDHRA TIMES FOR THE PEOPLE,,137016.0,APTEL/2015/64461,BALIDE PADMAVATHI,AP,VISAKHAPATNAM,W
194,APTEL16438,VISAKHA SURYA TIMES,,,,JABADYA NAMALA,AP,VISAKHAPATNAM,W
195,APENG02059,VIZAG TIMES,वाइज़ग टाइम्स,15790.0,15790/ 68,CHAMARTHI RAMAKRISHNA RAO,AP,VISAKHAPATNAM,W
196,APENG03409,TIMES ASCENT,,120866.0,APENG/2012/48310,"BENNETT, COLEMAN & CO.LTD",AP,VISAKHAPATNAM,W
197,APTEL07251,VIZIANAGARAM TIMES,,81652.0,APTEL/2002/09095,E. SURESH KUMAR,AP,VIZIANAGARAM,D
198,APTEL16519,GURUJADA TIMES,,,,MAJJI SIVA KUMAR,AP,VIZIANAGARAM,D
199,APTEL13300,CITY TIMES,,120199.0,APTEL/2012/47642,B PRAMOD KUMAR,AP,WARANGAL,D
200,APTEL13490,DIKHSUTCHI TIMES,,122666.0,APTEL/2013/50111,PARVADA ANJANEYULU,AP,WEST GODAVARI,D
201,APTEL14562,UPLAND TIMES,उप लैंड टाइम्स,138437.0,APTEL/2015/65882,BANDARU SRINIVASA RAO,AP,WEST GODAVARI,D
